App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,category_key,rating_num,reviews_num,installs_num,size_mb,subjectivity_num
Governor of Poker 2 - OFFLINE POKER GAME,GAME,4.3,246538,60M,"5,000,000+",Free,0,Teen,Card,"March 6, 2018",3.0.8,2.3 and up,GAME,4.3,246538.0,5000000.0,60.0,
Oggy,GAME,4.5,49971,61M,"5,000,000+",Free,0,Everyone,Arcade,"August 29, 2017",1.3.1,4.0.3 and up,GAME,4.5,49971.0,5000000.0,61.0,
Jungle Monkey Run,GAME,4.4,54082,21M,"10,000,000+",Free,0,Everyone,Adventure,"July 11, 2018",1.6.8,4.0.3 and up,GAME,4.4,54082.0,10000000.0,21.0,
Ez Mirror Match,GAME,4.4,3344,36M,"500,000+",Free,0,Everyone,Arcade,"January 3, 2018",2.1,4.0 and up,GAME,4.4,3344.0,500000.0,36.0,
Friendly for Facebook,SOCIAL,4.5,42621,23M,"1,000,000+",Free,0,Teen,Social,"August 7, 2018",2.1.05,4.4 and up,SOCIAL,4.5,42621.0,1000000.0,23.0,
File Commander - File Manager/Explorer,BUSINESS,4.3,758590,12M,"100,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,4.1 and up,BUSINESS,4.3,758590.0,100000000.0,12.0,
Female Daily,BEAUTY,3.9,4354,42M,"100,000+",Free,0,Teen,Beauty,"August 6, 2018",2.5.1,4.0.3 and up,BEAUTY,3.9,4354.0,100000.0,42.0,
Garena Free Fire,GAME,4.5,5534114,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,GAME,4.5,5534114.0,100000000.0,53.0,
Police Car Driver,GAME,3.8,83671,30M,"10,000,000+",Free,0,Everyone 10+,Racing,"May 4, 2018",9,4.1 and up,GAME,3.8,83671.0,10000000.0,30.0,
Moto Fighter 3D,GAME,3.9,85410,39M,"10,000,000+",Free,0,Everyone 10+,Racing,"September 20, 2017",20170920,4.1 and up,GAME,3.9,85410.0,10000000.0,39.0,
BMX Boy,GAME,4.2,839206,12M,"50,000,000+",Free,0,Everyone,Racing,"September 20, 2017",1.16.33,4.1 and up,GAME,4.2,839206.0,50000000.0,12.0,
Crazy Bike attack Racing New: motorcycle racing,GAME,4.2,20364,45M,"5,000,000+",Free,0,Everyone,Racing,"July 12, 2018",1.2.1,4.1 and up,GAME,4.2,20364.0,5000000.0,45.0,
Toy Attack,GAME,4.2,3878,69M,"500,000+",Free,0,Everyone,Action,"April 4, 2018",1.9,4.0.3 and up,GAME,4.2,3878.0,500000.0,69.0,
Forgotten Hill: Puppeteer,GAME,4.5,2917,22M,"100,000+",Free,0,Teen,Adventure,"October 30, 2017",2.6,2.3 and up,GAME,4.5,2917.0,100000.0,22.0,
TownWiFi | Wi-Fi Everywhere,COMMUNICATION,3.9,2372,58M,"500,000+",Free,0,Everyone,Communication,"August 2, 2018",4.2.1,4.2 and up,COMMUNICATION,3.9,2372.0,500000.0,58.0,
Rope Hero: Vice Town,GAME,4.4,452589,99M,"10,000,000+",Free,0,Mature 17+,Action,"July 1, 2018",2.2,4.0 and up,GAME,4.4,452589.0,10000000.0,99.0,
Block Gun 3D: Haunted Hollow,GAME,3.8,16282,35M,"1,000,000+",Free,0,Teen,Action,"October 9, 2017",1.1.4,2.3 and up,GAME,3.8,16282.0,1000000.0,35.0,
Toy Truck Rally 3D,GAME,4.0,301895,25M,"50,000,000+",Free,0,Everyone,Racing,"May 23, 2018",1.4.4,4.1 and up,GAME,4.0,301895.0,50000000.0,25.0,
FRONTLINE COMMANDO,GAME,4.4,1351833,12M,"10,000,000+",Free,0,Teen,Action,"October 28, 2013",3.0.3,2.1 and up,GAME,4.4,1351833.0,10000000.0,12.0,
Gun Builder ELITE,GAME,4.1,88941,34M,"1,000,000+",Free,0,Teen,Action,"July 26, 2016",3.1.7,4.0 and up,GAME,4.1,88941.0,1000000.0,34.0,
Gun Club Armory,GAME,4.2,55014,28M,"1,000,000+",Free,0,Teen,Action,"December 4, 2017",1.2.6,4.1 and up,GAME,4.2,55014.0,1000000.0,28.0,
4x4 Jeep Racer,GAME,4.1,7279,54M,"1,000,000+",Free,0,Everyone,Racing,"March 9, 2018",1.5,4.0 and up,GAME,4.1,7279.0,1000000.0,54.0,
Big Hunter,GAME,4.3,245455,84M,"10,000,000+",Free,0,Everyone 10+,Action,"May 31, 2018",2.8.6,4.0 and up,GAME,4.3,245455.0,10000000.0,84.0,
Poker Pro.Fr,GAME,4.2,5442,17M,"100,000+",Free,0,Teen,Card,"May 22, 2018",4.1.3,2.3 and up,GAME,4.2,5442.0,100000.0,17.0,
